comp,bumber of nodes,global clustering coefficient,transitivity
1,5,0.4666666666666666,0.5
2,8,0.41666666666666663,0.42857142857142855
3,3,0.0,0.0
4,3,1.0,1.0
5,3,0.0,0.0
6,2,0.0,0.0
7,3,0.0,0.0
8,2,0.0,0.0
9,5,0.0,0.0
10,5,0.0,0.0
11,2,0.0,0.0
12,3,0.0,0.0
13,2,0.0,0.0
14,18,0.5624338624338624,0.5965909090909091
15,3,0.0,0.0
16,2,0.0,0.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,3,1.0,1.0
21,2,0.0,0.0
22,3,0.0,0.0
23,2,0.0,0.0
24,2,0.0,0.0
25,2,0.0,0.0
26,3,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
29,2,0.0,0.0
30,2,0.0,0.0
31,3,1.0,1.0
32,2,0.0,0.0
33,3,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
