comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,5,0.6,0.5454545454545454
3,5,0.6,0.5454545454545454
4,4,0.5833333333333333,0.6
5,3,1.0,1.0
6,2,0.0,0.0
7,3,1.0,1.0
8,6,0.27777777777777773,0.375
9,5,0.0,0.0
10,5,0.0,0.0
11,3,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,3,1.0,1.0
16,2,0.0,0.0
17,3,0.0,0.0
18,4,1.0,1.0
19,2,0.0,0.0
20,3,0.0,0.0
21,4,0.5833333333333333,0.6
22,5,1.0,1.0
23,2,0.0,0.0
24,2,0.0,0.0
25,2,0.0,0.0
26,3,1.0,1.0
27,2,0.0,0.0
