node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,1.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,1.0,0.0,0.0
6,2.0,0.0,1.0
7,2.0,2.0,0.0
8,0.0,0.0,0.0
9,2.0,4.0,0.0
10,1.0,0.0,0.0
11,3.0,8.0,0.3333333333333333
12,2.0,0.0,1.0
13,2.0,0.0,1.0
14,2.0,0.0,1.0
15,0.0,0.0,0.0
16,2.0,0.0,1.0
17,1.0,0.0,0.0
18,1.0,0.0,0.0
19,0.0,0.0,0.0
20,1.0,0.0,0.0
21,2.0,0.0,1.0
22,2.0,2.0,0.0
23,1.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,1.0,0.0,0.0
28,2.0,2.0,0.0
29,0.0,0.0,0.0
30,3.0,1.0,0.6666666666666666
31,0.0,0.0,0.0
32,1.0,0.0,0.0
33,1.0,0.0,0.0
34,2.0,0.0,1.0
35,1.0,0.0,0.0
36,0.0,0.0,0.0
37,1.0,0.0,0.0
38,2.0,4.0,0.0
39,3.0,5.0,0.6666666666666666
40,1.0,0.0,0.0
41,0.0,0.0,0.0
42,1.0,0.0,0.0
43,1.0,0.0,0.0
44,2.0,0.0,1.0
45,1.0,0.0,0.0
46,2.0,2.0,0.0
47,1.0,0.0,0.0
48,1.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,2.0,0.0,1.0
52,0.0,0.0,0.0
53,1.0,0.0,0.0
54,4.0,12.0,0.5
55,3.0,4.0,0.3333333333333333
56,1.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,2.0,24.0,0.0
60,1.0,0.0,0.0
61,1.0,0.0,0.0
62,1.0,0.0,0.0
63,1.0,0.0,0.0
64,2.0,8.0,0.0
65,0.0,0.0,0.0
66,1.0,0.0,0.0
67,1.0,0.0,0.0
68,2.0,4.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,1.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,1.0,0.0,0.0
76,2.0,2.0,0.0
77,2.0,0.0,1.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,1.0,0.0,0.0
81,1.0,0.0,0.0
82,1.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,2.0,0.0,1.0
88,2.0,6.0,0.0
89,4.0,1.3333333333333333,0.8333333333333334
90,1.0,0.0,0.0
91,1.0,0.0,0.0
92,1.0,0.0,0.0
93,2.0,4.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,1.0,0.0,0.0
97,1.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,2.0,12.0,0.0
102,1.0,0.0,0.0
103,4.0,8.0,0.5
104,1.0,0.0,0.0
105,3.0,1.0,0.6666666666666666
106,1.0,0.0,0.0
107,1.0,0.0,0.0
108,0.0,0.0,0.0
109,1.0,0.0,0.0
110,1.0,0.0,0.0
111,3.0,3.0,0.6666666666666666
112,3.0,12.0,0.3333333333333333
113,3.0,3.0,0.6666666666666666
114,4.0,4.0,0.5
115,1.0,0.0,0.0
116,0.0,0.0,0.0
117,1.0,0.0,0.0
118,2.0,0.0,1.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,4.0,12.0,0.3333333333333333
122,0.0,0.0,0.0
123,1.0,0.0,0.0
124,1.0,0.0,0.0
125,2.0,0.0,1.0
126,1.0,0.0,0.0
127,0.0,0.0,0.0
128,2.0,2.0,0.0
129,1.0,0.0,0.0
130,1.0,0.0,0.0
131,2.0,0.0,1.0
132,3.0,5.0,0.6666666666666666
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,3.0,1.0,0.6666666666666666
136,2.0,0.0,1.0
137,2.0,0.0,1.0
138,1.0,0.0,0.0
139,1.0,0.0,0.0
140,1.0,0.0,0.0
141,1.0,0.0,0.0
142,1.0,0.0,0.0
143,1.0,0.0,0.0
144,1.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,1.0,0.0,0.0
148,0.0,0.0,0.0
149,1.0,0.0,0.0
150,1.0,0.0,0.0
151,0.0,0.0,0.0
152,2.0,8.0,0.0
153,3.0,0.0,1.0
154,1.0,0.0,0.0
155,0.0,0.0,0.0
156,1.0,0.0,0.0
157,1.0,0.0,0.0
158,0.0,0.0,0.0
159,1.0,0.0,0.0
160,0.0,0.0,0.0
161,1.0,0.0,0.0
162,1.0,0.0,0.0
163,1.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,1.0,0.0,0.0
167,1.0,0.0,0.0
168,2.0,2.0,0.0
169,3.0,0.0,1.0
170,1.0,0.0,0.0
171,1.0,0.0,0.0
172,2.0,2.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,3.0,2.0,0.6666666666666666
178,1.0,0.0,0.0
179,1.0,0.0,0.0
180,2.0,0.0,1.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,3.0,1.0,0.6666666666666666
184,0.0,0.0,0.0
185,1.0,0.0,0.0
186,0.0,0.0,0.0
187,1.0,0.0,0.0
188,1.0,0.0,0.0
189,1.0,0.0,0.0
190,1.0,0.0,0.0
191,1.0,0.0,0.0
192,3.0,0.0,1.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,1.0,0.0,0.0
196,0.0,0.0,0.0
197,3.0,8.0,0.3333333333333333
198,1.0,0.0,0.0
199,1.0,0.0,0.0
200,2.0,0.0,1.0
201,1.0,0.0,0.0
