N,X,Y,Slice
1,2210,95,1
2,2385,245,1
3,2309,260,1
4,2583,307,1
5,2454,332,1
6,2091,381,1
7,2082,445,1
8,2381,489,1
9,2311,520,1
10,1885,523,1
11,2066,528,1
12,2974,547,1
13,2535,555,1
14,1909,605,1
15,2665,628,1
16,2289,667,1
17,2270,671,1
18,1932,771,1
19,2584,778,1
20,2896,832,1
21,2594,841,1
22,2736,848,1
23,3036,855,1
24,2162,862,1
25,3143,905,1
26,2333,929,1
27,1933,965,1
28,2457,977,1
29,1980,980,1
30,1757,1004,1
31,2112,1009,1
32,2445,1038,1
33,2699,1043,1
34,2497,1051,1
35,2744,1052,1
36,2265,1090,1
37,2286,1107,1
38,3234,1135,1
39,2026,1162,1
40,2244,1179,1
41,2650,1186,1
42,1846,1236,1
43,1911,1236,1
44,2556,1256,1
45,2055,1268,1
46,1718,1284,1
47,3176,1327,1
48,2539,1336,1
49,2157,1338,1
50,1769,1346,1
51,2792,1360,1
52,1894,1377,1
53,2492,1390,1
54,2201,1413,1
55,1942,1419,1
56,2794,1453,1
57,1717,1491,1
58,2174,1497,1
59,2938,1545,1
60,2630,1556,1
61,1967,1567,1
62,2620,1584,1
63,2887,1592,1
64,1997,1686,1
65,3025,1701,1
66,2239,1703,1
67,2077,1774,1
68,2648,1780,1
69,2311,1804,1
70,2178,1806,1
71,1884,1811,1
72,2872,1835,1
73,1729,1847,1
74,1966,1929,1
75,2277,1941,1
76,2107,1955,1
77,2329,1962,1
78,2736,1964,1
79,3139,1992,1
80,1953,2028,1
81,2650,2041,1
82,2025,2047,1
83,2350,2088,1
84,2823,2103,1
85,1989,2105,1
86,2737,2114,1
87,2245,2142,1
88,2948,2150,1
89,1731,2193,1
90,2240,2193,1
91,2939,2203,1
92,2227,2226,1
93,2141,2225,1
94,3115,2237,1
95,2908,2241,1
96,2556,2366,1
97,2854,2424,1
98,2230,2438,1
99,3035,2441,1
100,1815,2465,1
101,1860,2473,1
102,2493,2479,1
103,3377,2486,1
104,2968,2495,1
105,2148,2497,1
106,2208,2506,1
107,2050,2516,1
108,2891,2608,1
109,1726,2613,1
110,2380,2615,1
111,2071,2624,1
112,3120,2654,1
113,2398,2669,1
114,2115,2671,1
115,2292,2684,1
116,2082,2692,1
117,2731,2726,1
118,2945,2754,1
119,3208,2818,1
120,1981,2943,1
121,2606,2945,1
122,2199,2968,1
123,3118,2970,1
124,2720,3038,1
125,2042,3062,1
