N,X,Y,Slice
291,1399,2571,3
292,1062,2587,3
293,536,2602,3
294,1383,2621,3
295,1032,2643,3
296,1424,2712,3
297,848,2721,3
298,1349,2816,3
299,1450,2841,3
300,471,2869,3
301,530,2897,3
302,1523,2914,3
303,1067,2931,3
304,910,2936,3
305,625,2992,3
306,555,2998,3
307,1836,3083,3
308,1069,3089,3
309,1516,3139,3
310,1744,3152,3
311,908,3158,3
312,1709,3331,3
313,1924,3340,3
314,1880,3350,3
315,1941,3368,3
316,1304,3406,3
317,2049,3450,3
318,2041,3485,3
319,1451,3505,3
320,1292,3568,3
321,1358,3569,3
322,1993,3612,3
323,2079,3619,3
324,1994,3650,3
325,1227,3675,3
326,1512,3673,3
327,1855,3716,3
328,2043,3734,3
329,1260,3821,3
330,1932,3856,3
331,1327,3937,3
332,1965,3972,3
333,1796,4040,3
334,1848,4116,3
335,1688,4179,3
336,1567,4200,3
337,1620,4358,3
338,1491,4381,3
