comp,bumber of nodes,global clustering coefficient,transitivity
1,3,1.0,1.0
2,3,1.0,1.0
3,2,0.0,0.0
4,3,0.0,0.0
5,4,0.8333333333333333,0.75
6,2,0.0,0.0
7,3,1.0,1.0
8,3,0.0,0.0
9,3,0.0,0.0
10,3,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,3,0.0,0.0
16,3,0.0,0.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,7,0.0,0.0
22,2,0.0,0.0
23,2,0.0,0.0
24,3,1.0,1.0
25,6,0.27777777777777773,0.375
26,3,0.0,0.0
27,3,1.0,1.0
28,3,1.0,1.0
29,7,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,3,0.0,0.0
33,3,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
