comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6275919658035406,0.5873044096728307
2,5,0.4666666666666667,0.5
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6359936581417405,0.5885589966726389
2,5,0.8666666666666668,0.6
comp,bumber of nodes,global clustering coefficient,transitivity
1,129,0.6416909338717963,0.591662603607996
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6338435863796644,0.5886232481450948
2,5,0.8666666666666668,0.6
comp,bumber of nodes,global clustering coefficient,transitivity
1,124,0.6366067076780649,0.5906586826347305
2,5,0.8666666666666668,0.6
comp,bumber of nodes,global clustering coefficient,transitivity
1,129,0.6331948709045692,0.585519801980198
