N,X,Y,Slice
1,1558,40,1
2,1691,81,1
3,986,112,1
4,1376,128,1
5,946,130,1
6,1594,138,1
7,1252,142,1
8,2013,163,1
9,1984,248,1
10,839,261,1
11,1920,265,1
12,1203,294,1
13,900,304,1
14,743,354,1
15,1823,364,1
16,1420,377,1
17,1147,378,1
18,1242,378,1
19,1927,386,1
20,965,391,1
21,2053,411,1
22,1822,424,1
23,1434,429,1
24,840,470,1
25,1292,476,1
26,998,487,1
27,402,512,1
28,1575,522,1
29,1128,521,1
30,650,537,1
31,1160,571,1
32,1602,594,1
33,1734,597,1
34,1292,661,1
35,1584,663,1
36,757,680,1
37,1454,704,1
38,1602,749,1
39,2088,760,1
40,1044,756,1
41,969,768,1
42,1747,789,1
43,731,798,1
44,756,877,1
45,1215,937,1
46,1669,946,1
47,860,950,1
48,493,974,1
49,1505,1021,1
50,697,1042,1
51,1990,1073,1
52,1193,1071,1
53,2004,1094,1
54,1347,1100,1
55,2142,1119,1
56,546,1118,1
57,2181,1135,1
58,938,1135,1
59,1849,1135,1
60,669,1139,1
61,336,1143,1
62,1411,1159,1
63,337,1167,1
64,266,1177,1
65,1503,1206,1
66,361,1221,1
67,1014,1231,1
68,1560,1260,1
69,1622,1259,1
70,441,1272,1
71,553,1284,1
72,1248,1294,1
73,1430,1306,1
74,1893,1308,1
75,1619,1333,1
76,1989,1351,1
77,2154,1365,1
78,324,1380,1
79,1905,1389,1
80,663,1400,1
81,1638,1405,1
82,959,1445,1
83,662,1453,1
84,595,1479,1
85,519,1482,1
86,792,1518,1
87,1843,1519,1
88,1072,1538,1
89,755,1575,1
90,688,1613,1
91,882,1616,1
92,950,1620,1
93,1353,1629,1
94,1627,1624,1
95,1060,1651,1
96,1605,1707,1
97,2073,1718,1
98,1491,1717,1
99,1089,1726,1
100,819,1769,1
101,1712,1788,1
102,1527,1806,1
103,959,1805,1
104,2012,1812,1
105,1031,1813,1
106,882,1844,1
107,215,1854,1
108,539,1891,1
109,1524,1903,1
110,336,1902,1
111,1698,1912,1
112,953,1913,1
113,839,1951,1
114,2059,1949,1
115,1635,2041,1
116,516,2041,1
117,1068,2049,1
118,1931,2053,1
119,948,2063,1
120,1667,2067,1
121,375,2075,1
