N,X,Y,Slice
1,1705,60,1
2,2249,67,1
3,2280,151,1
4,2005,161,1
5,1960,210,1
6,2402,276,1
7,1966,288,1
8,1681,301,1
9,2074,312,1
10,1794,312,1
11,2500,319,1
12,2032,352,1
13,1551,390,1
14,2530,402,1
15,3077,417,1
16,1680,440,1
17,2207,456,1
18,1860,514,1
19,1751,521,1
20,1539,534,1
21,1984,536,1
22,2648,547,1
23,1649,567,1
24,2502,583,1
25,1814,589,1
26,2792,601,1
27,2117,619,1
28,1655,635,1
29,2462,645,1
30,2255,676,1
31,2824,688,1
32,2591,715,1
33,1939,728,1
34,2257,782,1
35,3450,789,1
36,2088,793,1
37,2764,830,1
38,2000,883,1
39,1715,928,1
40,3225,937,1
41,2531,954,1
42,3458,1041,1
43,2045,1058,1
44,1847,1062,1
45,1960,1073,1
46,2873,1074,1
47,1867,1091,1
48,1712,1097,1
49,1957,1095,1
50,2514,1105,1
51,2510,1163,1
52,2046,1183,1
53,2515,1189,1
54,2662,1191,1
55,2441,1200,1
56,2566,1205,1
57,2237,1217,1
58,1970,1227,1
59,2550,1258,1
60,2667,1263,1
61,2400,1271,1
62,2522,1281,1
63,2689,1303,1
64,1716,1313,1
65,2150,1311,1
66,1818,1395,1
67,2217,1399,1
68,1921,1409,1
69,2984,1427,1
70,2299,1464,1
71,2949,1461,1
72,1829,1459,1
73,2029,1482,1
74,2699,1554,1
75,2500,1565,1
76,2007,1632,1
77,2214,1652,1
78,3788,1654,1
79,2499,1659,1
80,2400,1665,1
81,2181,1683,1
82,3122,1687,1
83,2008,1689,1
84,3124,1727,1
85,2158,1740,1
86,1889,1761,1
87,2464,1761,1
88,1877,1775,1
89,1831,1803,1
90,2133,1809,1
91,2645,1894,1
92,2845,1903,1
93,2310,1957,1
94,2001,1993,1
95,3004,2022,1
96,2329,2035,1
97,2199,2035,1
98,2765,2063,1
99,3550,2165,1
100,3114,2178,1
101,2898,2186,1
102,3528,2204,1
103,2315,2220,1
104,2668,2232,1
105,2581,2320,1
106,2927,2334,1
107,3031,2344,1
108,2005,2389,1
109,2990,2396,1
110,2372,2464,1
111,3055,2498,1
112,3240,2497,1
113,3116,2604,1
114,2718,2615,1
115,2310,2667,1
116,3040,2695,1
117,2307,2703,1
118,3571,2704,1
119,3114,2743,1
120,2289,2775,1
121,3353,2781,1
122,2277,2871,1
123,2209,2873,1
124,2955,2876,1
125,2785,2896,1
126,2348,2910,1
127,2465,3035,1
128,2349,3053,1
129,2338,3076,1
130,2988,3086,1
131,3069,3129,1
132,3615,3163,1
133,2663,3318,1
134,2721,3349,1
135,3234,3443,1
136,2526,3457,1
137,2612,3517,1
138,2815,3948,1
139,3490,3825,2
140,3904,3856,2
141,3441,3879,2
142,3922,3883,2
143,3980,3893,2
144,3730,3909,2
145,3430,3916,2
146,3989,4016,2
147,3804,4121,2
148,3475,4158,2
149,3578,4207,2
150,3967,4247,2
151,2936,4275,2
152,3529,4283,2
153,3911,4302,2
154,2859,4310,2
155,3141,4309,2
156,3492,4324,2
157,3828,4336,2
158,3470,4398,2
159,2968,4429,2
160,3431,4441,2
161,4067,4451,2
