N,X,Y,Slice
299,2731,1033,3
300,2526,1062,3
301,3268,1067,3
302,2801,1079,3
303,3372,1101,3
304,2591,1120,3
305,2273,1137,3
306,2997,1141,3
307,2911,1201,3
308,3413,1225,3
309,2256,1247,3
310,3494,1275,3
311,2250,1284,3
312,3271,1282,3
313,3162,1307,3
314,2401,1348,3
315,3483,1353,3
316,3177,1389,3
317,3547,1418,3
318,2278,1425,3
319,3281,1436,3
320,2278,1455,3
321,2605,1484,3
322,3006,1529,3
323,3716,1531,3
324,2680,1632,3
325,3608,1633,3
326,3141,1686,3
327,2701,1711,3
328,2913,1817,3
329,2475,1846,3
330,2699,1848,3
331,3363,1890,3
332,3698,1905,3
333,3862,1965,3
334,3328,1969,3
335,2747,1988,3
336,3499,2008,3
337,2498,2014,3
338,2997,2040,3
339,3215,2040,3
340,2601,2055,3
341,3179,2054,3
342,3912,2063,3
343,2329,2071,3
344,3251,2077,3
345,2750,2128,3
346,3174,2138,3
347,4022,2164,3
348,2434,2181,3
349,3725,2195,3
350,3839,2228,3
351,3959,2235,3
352,2993,2239,3
353,3266,2261,3
354,2444,2268,3
355,2701,2269,3
356,2511,2269,3
357,3537,2273,3
358,3583,2324,3
359,2538,2329,3
360,3766,2346,3
361,3550,2345,3
362,2475,2375,3
363,3879,2396,3
364,3017,2450,3
365,2471,2490,3
366,2694,2496,3
367,2565,2502,3
368,3185,2504,3
369,4044,2517,3
370,3567,2588,3
371,3885,2619,3
372,3664,2637,3
373,4144,2650,3
374,2466,2659,3
375,3484,2681,3
376,3286,2690,3
377,3051,2719,3
378,3752,2737,3
379,3944,2756,3
380,3196,2793,3
381,3680,2794,3
382,3208,2807,3
383,3260,2831,3
384,3076,2859,3
385,2808,2882,3
386,3799,2890,3
387,3037,2887,3
388,2801,2921,3
389,3495,2948,3
390,4046,3003,3
391,3531,3011,3
392,2665,3068,3
393,2608,3094,3
394,2720,3141,3
395,3191,3154,3
396,2903,3152,3
397,3961,3186,3
398,3280,3204,3
399,3490,3204,3
400,2921,3237,3
401,2555,3248,3
402,3465,3254,3
403,2797,3324,3
404,2621,3321,3
405,3844,3330,3
406,3513,3335,3
407,3345,3337,3
408,3995,3367,3
409,4208,3378,3
410,2549,3392,3
411,3327,3436,3
412,2516,3444,3
413,3883,3454,3
414,2271,3471,3
415,3413,3481,3
416,3775,3487,3
417,3331,3512,3
418,2858,3556,3
419,3708,3564,3
420,4013,3580,3
421,2479,3599,3
422,3414,3606,3
423,4004,3607,3
424,3668,3646,3
425,3099,3674,3
426,2796,3691,3
427,3110,3691,3
428,2895,3726,3
429,2277,3740,3
430,3977,3740,3
431,3265,3766,3
432,3581,3854,3
433,3125,3930,3
434,2135,4013,3
435,3336,4013,3
436,2249,4026,3
437,2971,4033,3
438,3924,4042,3
439,2864,4045,3
440,3778,4060,3
441,3350,4063,3
442,2793,4074,3
443,2139,4071,3
444,2273,4108,3
445,3100,4121,3
446,3576,4136,3
447,2099,4187,3
448,2462,4194,3
449,2079,4205,3
450,3482,4231,3
451,3414,4242,3
452,2980,4248,3
453,3750,4263,3
454,2691,4294,3
455,2845,4295,3
456,3876,4298,3
457,2979,4314,3
458,2467,4360,3
459,3033,4366,3
460,3037,4390,3
461,2510,4430,3
462,2874,4434,3
463,3637,4456,3
464,3195,4498,3
465,2585,4509,3
466,3273,4579,3
467,3564,4580,3
468,2675,4586,3
469,1997,4612,3
470,3106,4634,3
471,3505,4663,3
472,2943,4693,3
473,2216,4739,3
474,3586,4740,3
475,2655,4741,3
476,3368,4751,3
477,2011,4784,3
478,2202,4801,3
479,1842,4807,3
480,3167,4830,3
481,2087,4871,3
482,2929,4930,3
483,2204,4992,3
484,3422,5099,3
485,2053,5127,3
486,2444,5127,3
487,3040,5157,3
488,1611,5189,3
489,1938,5204,3
490,1860,5208,3
491,2087,5253,3
492,2704,5257,3
493,2419,5261,3
494,2656,5276,3
