N,X,Y,Slice
289,803,1350,3
290,970,1362,3
291,840,1397,3
292,1326,1409,3
293,674,1441,3
294,1041,1456,3
295,504,1473,3
296,1760,1474,3
297,821,1483,3
298,783,1512,3
299,379,1538,3
300,1114,1547,3
301,554,1564,3
302,365,1591,3
303,434,1642,3
304,1496,1650,3
305,1348,1678,3
306,1522,1691,3
307,1178,1696,3
308,1432,1707,3
309,1638,1772,3
310,913,1802,3
311,606,1846,3
312,505,1886,3
313,672,1913,3
314,1113,1955,3
315,1711,1981,3
316,1295,1995,3
317,1437,1995,3
318,1867,2070,3
319,377,2106,3
320,1426,2112,3
321,443,2114,3
322,651,2113,3
323,1740,2150,3
324,1376,2152,3
325,1335,2178,3
326,1476,2220,3
327,1857,2256,3
328,447,2282,3
329,721,2330,3
330,1710,2441,3
331,1010,2482,3
332,1630,2573,3
333,988,2594,3
334,691,2627,3
335,44,2655,3
336,1115,2702,3
337,993,2822,3
338,1780,2832,3
339,1618,2852,3
340,863,2858,3
341,1834,2864,3
342,434,2864,3
343,341,2867,3
344,1230,2913,3
345,1310,2950,3
346,2057,2957,3
347,1924,2977,3
348,1585,2977,3
349,690,3006,3
350,1218,3004,3
351,59,3027,3
352,623,3025,3
353,1509,3041,3
354,1954,3047,3
355,1514,3072,3
356,1099,3113,3
357,1699,3134,3
358,799,3142,3
359,224,3141,3
360,467,3259,3
361,2064,3260,3
362,773,3278,3
363,76,3306,3
364,1610,3308,3
365,2221,3322,3
366,495,3322,3
367,1882,3332,3
368,1987,3328,3
369,1409,3400,3
370,1951,3405,3
371,893,3453,3
372,2153,3463,3
373,1396,3469,3
374,828,3509,3
375,544,3518,3
376,989,3534,3
377,615,3545,3
378,1396,3552,3
379,1973,3559,3
380,1554,3577,3
381,2215,3627,3
382,700,3636,3
383,1432,3636,3
384,1681,3669,3
385,782,3673,3
386,1280,3684,3
387,1697,3688,3
388,1315,3704,3
389,2042,3714,3
390,462,3740,3
391,2393,3792,3
392,1821,3807,3
393,2343,3818,3
394,2198,3824,3
395,1921,3836,3
396,1996,3856,3
397,1921,3863,3
398,1057,3895,3
399,493,3906,3
400,2255,3909,3
401,1880,3924,3
402,1323,3937,3
403,1873,3969,3
404,1846,3987,3
405,352,4019,3
406,752,4083,3
407,2476,4078,3
408,457,4092,3
409,1003,4142,3
410,1645,4151,3
411,2194,4173,3
412,708,4186,3
413,907,4235,3
414,2200,4240,3
415,2035,4240,3
416,481,4256,3
417,830,4259,3
418,2620,4287,3
419,2051,4321,3
420,1927,4352,3
421,2216,4393,3
422,2354,4430,3
423,1277,4483,3
424,1242,4490,3
425,1815,4496,3
426,1003,4496,3
427,2181,4500,3
428,2626,4497,3
429,925,4513,3
430,2535,4545,3
431,2318,4556,3
432,2781,4575,3
433,2313,4599,3
434,2570,4619,3
435,1088,4623,3
436,653,4641,3
437,2287,4643,3
438,946,4650,3
439,2459,4661,3
440,669,4696,3
441,947,4705,3
442,2468,4708,3
443,1930,4712,3
444,1415,4722,3
445,2715,4727,3
446,2353,4740,3
447,2640,4750,3
448,2755,4771,3
449,2568,4780,3
450,1352,4805,3
451,737,4827,3
452,2943,4830,3
453,2371,4837,3
454,2022,4837,3
455,1497,4840,3
456,2137,4836,3
457,2312,4866,3
458,2218,4881,3
459,2291,4910,3
460,2308,4923,3
461,1746,4941,3
462,1845,4958,3
463,1888,4956,3
464,2646,4984,3
465,1913,4986,3
466,895,5032,3
467,1181,5068,3
468,2581,5078,3
469,1760,5086,3
470,2845,5097,3
471,2436,5144,3
472,1941,5179,3
473,2733,5179,3
474,2346,5185,3
475,3094,5189,3
476,2213,5205,3
477,1485,5208,3
478,2456,5205,3
479,2956,5206,3
480,1503,5234,3
481,2836,5244,3
482,3039,5256,3
483,1427,5316,3
484,2058,5325,3
485,2917,5361,3
486,3000,5384,3
487,2357,5432,3
488,1979,5454,3
489,2429,5474,3
490,2200,5546,3
491,1984,5577,3
492,1891,5579,3
493,1730,5629,3
494,1835,5642,3
