cell,x,y,slice,radius
0,0,5673,0,0
1,554,1766,2,126
2,422,1745,2,130
3,988,1739,2,146
4,635,1620,2,128
5,487,1610,2,128
6,141,1607,2,149
7,495,1503,2,128
8,273,1490,2,135
9,621,1456,2,125
10,187,1361,2,139
11,894,1351,2,145
12,1468,1294,2,130
13,378,1270,2,146
14,621,1259,2,149
15,1062,1217,2,127
16,107,1201,2,139
17,1640,1157,2,138
18,890,1113,2,146
19,289,1065,2,146
20,1087,1035,2,141
21,318,970,2,146
22,980,959,2,142
23,1993,953,2,148
24,1126,928,2,132
25,450,907,2,148
26,620,903,2,143
27,208,895,2,142
28,756,889,2,144
29,254,867,2,142
30,915,830,2,143
31,375,814,2,126
32,195,791,2,139
33,291,783,2,129
34,856,768,2,132
35,763,748,2,132
36,1421,745,2,144
37,1911,688,2,136
38,437,680,2,132
39,828,674,2,137
40,568,667,2,136
41,2127,655,2,137
42,2247,656,2,135
43,623,624,2,135
44,439,603,2,126
45,313,589,2,133
46,878,557,2,150
47,737,518,2,150
48,1177,492,2,130
49,1265,491,2,138
50,1295,448,2,146
51,1208,399,2,141
52,1073,392,2,146
53,774,393,2,141
54,951,368,2,131
55,622,329,2,135
56,1365,302,2,131
57,1232,214,2,141
58,815,197,2,126
59,1285,156,2,125
60,1465,100,2,138
61,1144,38,2,132
62,1305,10,2,132
63,1194,0,2,130
