animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
Null AVP 1,1D,2,104,True,2,0.2,9,7,0.5007256235827664,0.5976095617529881
animal,slice,section,number of nodes,Fixed radius,criteria,criterion,connected components,isolated cells,global clustering coeff,transitivity
Null AVP 1,1D,2,104,True,2,0.2,8,7,0.5169690098261526,0.6288384512683578
