comp,bumber of nodes,global clustering coefficient,transitivity
1,37,0.55,0.5486725663716814
2,24,0.6497023809523809,0.6258278145695364
3,5,0.0,0.0
4,10,0.6966666666666667,0.6818181818181818
5,6,0.5,0.6666666666666666
6,5,0.8666666666666666,0.7894736842105263
7,5,0.4666666666666666,0.5
8,2,0.0,0.0
9,2,0.0,0.0
comp,bumber of nodes,global clustering coefficient,transitivity
1,7,0.838095238095238,0.7868852459016393
2,7,0.8428571428571429,0.7272727272727273
3,47,0.4834853090172239,0.6228070175438597
4,23,0.5778812974465148,0.5796610169491525
5,2,0.0,0.0
6,3,1.0,1.0
7,5,0.7,0.8
8,2,0.0,0.0
