comp,bumber of nodes,global clustering coefficient,transitivity
1,6,0.7777777777777777,0.6
2,47,0.5300911854103344,0.6368715083798883
3,12,0.08333333333333333,0.1875
4,4,0.5833333333333333,0.6
5,15,0.5977777777777776,0.5795454545454546
6,2,0.0,0.0
7,3,1.0,1.0
8,3,0.0,0.0
9,5,0.0,0.0
10,3,1.0,1.0
11,20,0.6166666666666666,0.5274725274725275
12,7,0.8571428571428571,0.75
13,4,1.0,1.0
14,2,0.0,0.0
15,4,1.0,1.0
16,44,0.47586580086580094,0.5232558139534884
17,2,0.0,0.0
18,3,0.0,0.0
19,4,0.8333333333333333,0.75
20,7,0.7952380952380952,0.7021276595744681
21,6,0.7333333333333333,0.5714285714285714
22,3,1.0,1.0
23,6,0.7777777777777777,0.6
24,5,0.8666666666666666,0.7894736842105263
25,6,0.7777777777777777,0.6
26,2,0.0,0.0
27,3,0.0,0.0
28,2,0.0,0.0
29,3,1.0,1.0
30,3,0.0,0.0
