N,X,Y,Slice
290,2192,5040,3
291,2516,5068,3
292,2210,5105,3
293,1458,5147,3
294,2496,5143,3
295,1300,5169,3
296,2901,5190,3
297,2966,5194,3
298,1899,5222,3
299,2592,5259,3
300,2019,5282,3
301,2344,5287,3
302,2522,5286,3
303,1356,5306,3
304,2212,5309,3
305,2965,5325,3
306,2697,5355,3
307,1771,5363,3
308,2601,5376,3
309,2517,5380,3
310,2183,5413,3
311,1678,5428,3
312,1981,5493,3
313,1506,5589,3
314,1925,5611,3
315,2209,5625,3
316,1567,5663,3
317,1596,5728,3
318,2222,5775,3
