N,X,Y,Slice
1,2712,165,1
2,2367,178,1
3,2081,238,1
4,2112,270,1
5,1851,274,1
6,2511,280,1
7,2802,311,1
8,3050,313,1
9,2502,355,1
10,2410,367,1
11,3171,366,1
12,2754,380,1
13,1881,437,1
14,2693,518,1
15,2657,544,1
16,1847,549,1
17,1574,561,1
18,1981,603,1
19,1851,617,1
20,2266,645,1
21,2999,648,1
22,3155,666,1
23,3236,688,1
24,1681,715,1
25,2327,716,1
26,2906,775,1
27,2080,806,1
28,3217,807,1
29,2167,834,1
30,2984,902,1
31,1727,910,1
32,1754,924,1
33,2693,927,1
34,2672,934,1
35,2416,963,1
36,2743,974,1
37,2891,983,1
38,1803,984,1
39,1914,1003,1
40,3205,1036,1
41,2515,1040,1
42,2923,1044,1
43,2572,1058,1
44,3516,1058,1
45,3098,1095,1
46,2470,1107,1
47,2797,1112,1
48,3335,1115,1
49,2227,1135,1
50,2788,1147,1
51,2141,1181,1
52,1786,1190,1
53,2449,1217,1
54,2465,1246,1
55,2063,1248,1
56,2257,1265,1
57,2966,1306,1
58,3305,1371,1
59,2812,1375,1
60,3278,1394,1
61,2635,1411,1
62,2360,1415,1
63,2138,1445,1
64,3302,1466,1
65,3102,1477,1
66,2532,1479,1
67,3372,1500,1
68,2527,1500,1
69,2379,1502,1
70,1821,1518,1
71,2924,1531,1
72,2452,1549,1
73,1977,1597,1
74,2312,1607,1
75,2149,1621,1
76,3292,1630,1
77,2516,1645,1
78,2097,1711,1
79,2164,1775,1
80,2011,1781,1
81,2094,1817,1
82,2594,1826,1
83,2453,1832,1
84,3487,1844,1
85,3001,1872,1
86,2524,1872,1
87,2005,1878,1
88,2833,1927,1
89,2226,1937,1
90,2662,1967,1
91,3411,2003,1
92,3479,2013,1
93,2127,2028,1
94,3454,2033,1
95,2022,2043,1
96,1846,2054,1
97,3683,2109,1
98,2806,2139,1
99,2889,2195,1
100,2315,2222,1
101,2645,2258,1
102,3001,2281,1
103,2906,2436,1
104,2820,2485,1
105,3157,2518,1
106,2196,2527,1
107,3287,2553,1
108,2385,2560,1
109,2030,2570,1
110,2678,2567,1
111,2661,2576,1
112,2772,2614,1
113,2859,2616,1
114,3489,2674,1
115,3283,2686,1
116,3208,2702,1
117,3408,2711,1
118,3322,2734,1
119,2601,2779,1
120,2916,2860,1
121,3295,2885,1
122,2844,2930,1
123,3545,2995,1
124,2381,3023,1
125,2546,3024,1
126,2351,3077,1
127,2615,3088,1
128,3861,3102,1
129,2594,3114,1
130,2886,3178,1
131,3263,3244,1
132,2483,3327,1
133,2559,3435,1
134,2986,3557,1
135,2919,3596,1
136,3053,3643,1
137,2710,3686,1
138,3362,3506,2
139,4137,3509,2
140,3535,3635,2
141,3950,3636,2
142,3816,3640,2
143,4139,3649,2
144,3757,3656,2
145,3710,3733,2
146,3909,3775,2
147,4167,3852,2
148,3738,3872,2
149,4104,3901,2
150,4109,3939,2
151,4233,4010,2
152,3829,4034,2
153,3080,4102,2
154,3655,4164,2
155,3642,4189,2
156,4197,4202,2
157,2735,4236,2
158,3830,4247,2
159,4093,4250,2
160,4005,4261,2
161,2987,4309,2
162,4225,4371,2
163,3964,4388,2
164,3579,4403,2
165,4272,4410,2
166,4104,4448,2
167,3392,4454,2
168,3917,4457,2
169,3535,4485,2
170,3897,4510,2
171,2970,4512,2
172,4081,4543,2
173,4305,4546,2
174,4347,4556,2
175,4024,4601,2
176,3206,4617,2
177,4249,4625,2
178,2352,4640,2
179,3796,4647,2
180,2324,4666,2
181,3948,4671,2
182,4154,4682,2
183,3576,4690,2
184,4244,4698,2
185,3866,4738,2
186,3963,4747,2
187,3808,4752,2
188,4114,4759,2
189,3841,4774,2
190,3287,4808,2
191,3515,4816,2
192,3008,4822,2
193,3389,4836,2
194,3433,4857,2
195,4177,4860,2
196,4096,4878,2
197,3974,4894,2
198,3794,4904,2
199,4081,4919,2
200,3295,4938,2
201,3144,4956,2
202,3697,4966,2
203,3545,4971,2
204,2985,4980,2
205,3332,4988,2
206,3080,5004,2
207,3009,5107,2
208,3698,5112,2
209,3400,5160,2
210,3418,5158,2
211,3556,5166,2
212,2923,5179,2
213,3064,5188,2
214,3225,5207,2
215,3528,5226,2
216,3061,5244,2
217,3617,5254,2
218,3109,5282,2
219,3171,5280,2
220,3742,5286,2
221,3016,5291,2
222,3385,5314,2
223,2820,5335,2
224,2898,5337,2
225,3281,5348,2
226,2852,5393,2
227,3645,5419,2
228,2958,5429,2
229,3259,5468,2
230,3011,5503,2
231,3365,5541,2
232,3159,5595,2
233,1465,280,3
234,1436,610,3
235,941,637,3
236,1370,734,3
237,695,888,3
238,1293,905,3
239,919,951,3
240,1435,1063,3
241,623,1210,3
242,1087,1252,3
243,427,1319,3
244,873,1336,3
245,1022,1507,3
246,1067,1645,3
247,714,1683,3
248,1584,1697,3
249,1329,1703,3
250,1603,1734,3
251,1342,1744,3
252,1368,1754,3
253,1432,1753,3
254,588,1762,3
255,918,1776,3
256,1657,1820,3
257,1130,1828,3
258,182,1847,3
259,1444,1924,3
260,666,1941,3
261,338,1950,3
262,103,1966,3
263,1007,1964,3
264,774,1974,3
265,1525,2032,3
266,1097,2050,3
267,616,2100,3
268,1311,2106,3
269,217,2119,3
270,161,2171,3
271,1811,2198,3
272,1755,2361,3
273,936,2476,3
274,1220,2485,3
275,160,2494,3
276,571,2641,3
277,837,2694,3
278,1966,2765,3
279,1355,2785,3
280,873,2932,3
281,1611,2951,3
282,946,2960,3
283,1984,2969,3
284,631,2985,3
285,2126,3016,3
286,2150,3040,3
287,1698,3062,3
288,1793,3124,3
289,438,3138,3
290,2202,3147,3
291,2193,3169,3
292,1406,3175,3
293,572,3205,3
294,1463,3269,3
295,1888,3288,3
296,2369,3341,3
297,1165,3343,3
298,582,3364,3
299,1513,3393,3
300,1219,3514,3
301,1792,3516,3
302,1867,3525,3
303,2081,3544,3
304,2363,3563,3
305,1547,3595,3
306,1850,3598,3
307,1487,3605,3
308,1790,3670,3
309,1591,3757,3
310,2095,3801,3
311,1788,3832,3
312,1794,3849,3
313,2515,3891,3
314,1862,3892,3
315,2242,3904,3
316,1917,3991,3
317,2465,3993,3
318,2535,4063,3
319,1972,4150,3
320,2318,4186,3
321,1503,4239,3
322,2360,4309,3
323,2429,4320,3
324,1710,4463,3
325,1894,4483,3
326,1906,4752,3
