N,X,Y,Slice
1,1979,81,1
2,1804,91,1
3,1282,178,1
4,1364,233,1
5,1882,237,1
6,2178,273,1
7,2439,324,1
8,1326,442,1
9,1401,464,1
10,2336,492,1
11,983,566,1
12,2456,633,1
13,1181,643,1
14,1622,650,1
15,1024,655,1
16,2016,670,1
17,1665,693,1
18,1164,757,1
19,1981,766,1
20,1940,787,1
21,788,790,1
22,1052,798,1
23,2483,828,1
24,1997,848,1
25,2526,898,1
26,2173,906,1
27,1086,939,1
28,1515,1064,1
29,980,1066,1
30,1635,1078,1
31,818,1255,1
32,2539,1337,1
33,1836,1371,1
34,1079,1412,1
35,916,1418,1
36,1780,1533,1
37,1942,1562,1
38,1721,1588,1
39,1398,1620,1
40,2287,1654,1
41,747,1669,1
42,1397,1707,1
43,797,1726,1
44,2436,1727,1
45,2026,1761,1
46,1369,1793,1
47,1055,1822,1
48,823,1837,1
49,2367,1843,1
50,1621,1869,1
51,2157,1874,1
52,1950,1902,1
53,729,1935,1
54,739,1978,1
55,1740,2011,1
56,2453,2024,1
57,945,2045,1
58,1366,2096,1
59,1371,2125,1
60,929,2149,1
61,2526,2147,1
62,697,2155,1
63,1065,2243,1
64,874,2250,1
65,794,2272,1
66,1317,2282,1
67,1287,2464,1
68,599,2546,1
69,855,2544,1
70,616,2610,1
71,2309,2637,1
72,2141,2837,1
73,1028,2927,1
74,2224,2967,1
75,737,2984,1
76,1720,3041,1
77,727,3047,1
78,2272,3060,1
79,1627,3078,1
80,1580,3079,1
81,1724,3087,1
82,992,3108,1
83,1566,3181,1
84,1244,3240,1
85,1321,3264,1
86,816,3286,1
87,1591,3354,1
88,2279,3366,1
89,1115,3374,1
90,1257,3389,1
91,1843,3417,1
92,1927,3512,1
93,1604,3571,1
94,1389,3596,1
95,1894,3622,1
96,370,3690,1
97,993,3815,1
98,645,3834,1
99,1483,3848,1
100,309,3852,1
101,1127,3910,1
102,1686,3923,1
103,1140,3922,1
104,1252,3994,1
105,1103,4033,1
106,839,4106,1
107,1153,4110,1
108,911,4112,1
109,1271,4152,1
110,1161,4206,1
111,1412,4262,1
112,1525,4336,1
113,1258,4348,1
114,764,4370,1
115,1607,4416,1
116,1262,4504,1
117,1166,4541,1
118,634,4549,1
119,991,4583,1
120,936,4589,1
121,675,4691,1
122,1393,4753,1
123,793,4754,1
124,1267,4839,1
125,1333,4871,1
126,1103,5040,1
128,2683,375,3
129,2614,592,3
130,2828,643,3
131,2638,683,3
132,2872,765,3
133,2728,984,3
134,3427,1227,3
135,3126,1269,3
136,2922,1308,3
137,3232,1327,3
138,2911,1349,3
139,3411,1379,3
140,3172,1385,3
141,3339,1447,3
142,3262,1526,3
143,3456,1535,3
144,3390,1616,3
145,3232,1760,3
146,3643,1897,3
147,3610,2140,3
148,3828,2328,3
149,2937,2366,3
150,3752,2619,3
151,3448,2746,3
152,3963,2808,3
153,3697,3134,3
154,3838,3276,3
155,2839,3364,3
156,3935,3384,3
157,3630,3443,3
158,3791,3628,3
159,2897,3683,3
160,3214,3684,3
161,2608,3749,3
162,2379,3819,3
163,2277,3946,3
164,3788,3962,3
165,3304,4028,3
166,3329,4054,3
167,2701,4115,3
168,2251,4205,3
169,2822,4241,3
170,3780,4254,3
171,3321,4327,3
172,1885,4342,3
173,3380,4371,3
174,2402,4386,3
175,2460,4417,3
176,2508,4435,3
177,3250,4442,3
178,2260,4544,3
179,3289,4718,3
180,1920,4757,3
181,3319,4839,3
182,1692,4902,3
183,2638,4904,3
184,3221,4940,3
185,1706,4939,3
186,2145,5048,3
187,2732,5068,3
188,1301,5146,3
189,1690,5144,3
190,2480,5256,3
191,2226,5269,3
192,2110,5274,3
193,1635,5298,3
194,2753,5305,3
195,2212,5307,3
196,2327,5423,3
197,1974,5614,3
